title,dynasty,first_year,last_year
"元興","東晉",402,404
"元豐","北宋",1078,1085
"元象","東魏",538,539
"元貞","元",1295,1297
"元鳳","西漢",-80,-75
"元鼎","西漢",-116,-111
"先天","唐",712,713
"光初","前趙",318,329
"光化","唐",898,901
"光和","東漢",178,184
"光啟","唐",885,888
"光壽","前燕",357,359
"光大","陳",567,568
"光大","前蜀",918,919
"光天","南漢",942,943
"光始","後燕",401,406
"光宅","周",684,684
"光定","西夏",1211,1222
"光熙","西晉",306,306
"光熹","東漢",189,189
"光緒","清",1875,1908
"光興","前趙",310,310
"初元","西漢",-48,-44
"初始","西漢",8,8
"初平","東漢",190,193
"升平","東晉",357,361
"升平","前涼",362,362
"同光","五代後唐",923,926
"同治","清",1862,1874
"和平","東漢",150,150
"和平","前涼",354,354
"和平","北魏",460,465
"咸亨","唐",670,674
"咸和","東晉",326,334
"咸安","東晉",371,372
"咸寧","西晉",275,280
"咸寧","後涼",398,399
"咸平","北宋",998,1003
"咸康","東晉",335,342
"咸康","前蜀",925,925
"咸淳","南宋",1265,1274
"咸清","西遼",1144,1150
"咸熙","三國魏",264,265
"咸豐","清",1851,1861
"咸通","唐",860,874
"咸雍","遼",1065,1074
"唐隆","唐",710,710
"嗣聖","唐",684,684
"嘉定","南宋",1208,1224
"嘉寧","成漢",346,347
"嘉平","三國魏",249,254
"嘉平","前趙",311,314
"嘉平","南涼",408,414
"嘉慶","清",1796,1820
"嘉泰","南宋",1201,1204
"嘉熙","南宋",1237,1240
"嘉祐","北宋",1056,1063
"嘉禾","三國吳",232,238
"嘉興","西涼",417,419
"嘉靖","明",1522,1566
"地皇","新朝",20,23
"地節","西漢",-69,-66
"垂拱","周",685,688
"壽光","前秦",355,356
"壽昌","遼",1095,1100
"大中","唐",847,860
"大同","南梁",535,546
"大同","遼",947,947
"大和","唐",827,835
"大安","西夏",1076,1085
"大安","遼",1085,1094
"大安","金",1209,1211
"大定","後梁",555,562
"大定","金",1161,1189
"大寶","南梁",550,551
"大寶","南漢",958,971
"大德","西夏",1135,1138
"大德","元",1297,1307
"大慶","西夏",1036,1037
"大慶","西夏",1139,1143
"大成","北周",579,579
"大明","劉宋",457,464
"大曆","唐",766,779
"大有","南漢",928,941
"大業","隋",605,617
"大統","西魏",535,551
"大觀","北宋",1107,1110
"大象","北周",579,581
"大足","周",701,701
"大通","南梁",527,529
"大順","唐",890,891
"大順","大西",1644,1647
"天保","北齊",550,559
"天保","後梁",562,585
"天光","北元",1378,1387
"天命","清",1616,1626
"天和","北周",566,572
"天啟","明",1621,1627
"天嘉","陳",560,566
"天安","北魏",466,467
"天寶","唐",742,756
"天寶","吳越",908,911
"天平","東魏",534,537
"天康","陳",566,566
"天復","唐",901,904
"天德","閩",943,945
"天德","金",1149,1153
"天慶","遼",1111,1120
"天慶","西夏",1194,1205
"天成","南梁",555,555
"天成","五代後唐",926,930
"天授","周",690,692
"天曆","元",1328,1330
"天會","北漢",957,973
"天會","金",1123,1137
"天正","南梁",551,552
"天漢","西漢",-100,-97
"天漢","前蜀",917,918
"天璽","三國吳",276,276
"天璽","北涼",399,400
"天盛","西夏",1149,1170
"天監","南梁",502,519
"天眷","金",1138,1140
"天祐","唐",904,907
"天祚","吳",935,937
"天祿","遼",947,951
"天福","五代後晉",936,944
"天福","五代後漢",947,947
"天禧","北宋",1017,1021
"天禧","西遼",1178,1218
"天紀","三國吳",277,280
"天統","北齊",565,569
"天聖","北宋",1023,1032
"天聰","清",1627,1635
"天興","北魏",398,403
"天興","金",1232,1234
"天賜","北魏",404,408
"天贊","遼",922,926
"天輔","金",1117,1122
"天鍹","三國吳",275,276
"天順","明",1457,1464
"天顯","遼",926,938
"天鳳","新朝",14,19
"太上","南燕",405,410
"太元","三國吳",251,252
"太元","前涼",324,345
"太元","東晉",376,396
"太初","西漢",-104,-101
"太初","前秦",386,393
"太初","西秦",388,406
"太初","南涼",397,399
"太和","三國魏",227,233
"太和","後趙",328,329
"太和","成漢",344,345
"太和","東晉",366,371
"太和","北魏",477,499
"太和","吳",929,934
"太始","西漢",-96,-93
"太始","前涼",355,356
"太安","西晉",302,303
"太安","前秦",385,385
"太安","後涼",386,388
"太安","北魏",455,459
"太宗","蒙古元",1229,1241
"太寧","東晉",323,326
"太寧","北齊",561,561
"太平","三國吳",256,258
"太平","北燕",409,430
"太平","南梁",556,557
"太平","遼",1021,1030
"太康","西晉",280,289
"太康","遼",1075,1084
"太延","北魏",435,439
"太建","陳",569,582
"太昌","北魏",532,532
"太極","唐",712,712
"太清","前涼",363,376
"太清","南梁",547,549
"太熙","西晉",290,290
"太祖","蒙古元",1206,1227
"太興","東晉",318,321
"太興","北燕",432,436
"奲都","西夏",1057,1062
"如意","周",692,692
"始元","西漢",-86,-81
"始光","北魏",424,427
"孝建","劉宋",454,456
"孝昌","北魏",525,527
"定宗","蒙古元",1246,1248
"宣光","北元",1371,1378
"宣和","北宋",1119,1125
"宣德","明",1426,1435
"宣政","北周",578,578
"宣統","清",1909,1911
"寧康","東晉",373,375
"寶元","北宋",1038,1040
"寶大","吳越",924,925
"寶慶","南宋",1225,1227
"寶應","唐",762,763
"寶曆","唐",825,827
"寶正","吳越",926,931
"寶祐","南宋",1253,1258
"寶義","西夏",1226,1227
"寶鼎","三國吳",266,269
"居攝","西漢",6,8
"崇寧","北宋",1102,1106
"崇德","清",1636,1643
"崇慶","金",1212,1212
"崇禎","明",1628,1644
"崇福","西遼",1164,1178
"康國","西遼",1134,1143
"康定","北宋",1040,1041
"康熙","清",1662,1722
"廣德","唐",763,764
"廣政","後蜀",938,965
"廣明","唐",880,881
"廣運","後梁",586,587
"廣運","北漢",974,979
"廣運","西夏",1034,1035
"廣順","五代後周",951,954
"延光","東漢",122,125
"延和","北魏",432,434
"延和","唐",712,712
"延平","東漢",106,106
"延康","東漢",220,220
"延慶","西遼",1132,1134
"延昌","北魏",512,515
"延熙","三國蜀",238,257
"延熙","後趙",333,334
"延熹","東漢",158,167
"延祐","元",1314,1320
"延興","北魏",471,476
"延興","南齊",494,494
"延載","周",694,694
"建中","唐",780,783
"建元","西漢",-140,-135
"建元","前趙",315,315
"建元","東晉",343,344
"建元","前涼",357,361
"建元","前秦",365,384
"建元","南齊",479,482
"建光","東漢",121,122
"建初","東漢",76,84
"建初","成漢",302,303
"建初","後秦",386,393
"建初","西涼",405,416
"建和","東漢",147,149
"建和","南涼",400,401
"建始","西漢",-32,-29
"建始","後燕",407,407
"建安","東漢",196,220
"建寧","東漢",168,172
"建平","西漢",-6,-3
"建平","後趙",330,332
"建平","後燕",398,398
"建平","南燕",400,404
"建康","東漢",144,144
"建弘","西秦",420,427
"建德","北周",572,578
"建文","明",1399,1402
"建明","北魏",530,531
"建昭","西漢",-38,-34
"建武","東漢",25,56
"建武","西晉",304,304
"建武","東晉",317,317
"建武","後趙",335,348
"建武","南齊",494,498
"建炎","南宋",1127,1130
"建熙","前燕",360,370
"建義","西秦",385,387
"建義","北魏",528,528
"建興","三國蜀",223,237
"建興","三國吳",252,253
"建興","成漢",304,305
"建興","西晉",313,316
"建興","前涼",313,319
"建興","後燕",386,395
"建衡","三國吳",269,271
"建隆","北宋",960,963
"弘光","南明",1644,1645
"弘始","後秦",399,415
"弘昌","南涼",402,407
"弘治","明",1488,1505
"弘道","唐",683,684
"征和","西漢",-92,-89
"後元","西漢",-88,-87
"德祐","南宋",1275,1276
"慶元","南宋",1195,1200
"慶曆","北宋",1041,1048
"憲宗","蒙古元",1251,1259
"應乾","南漢",943,943
"應天","西夏",1206,1209
"應曆","遼",951,969
"應順","五代後唐",934,934
"成化","明",1465,1487
"承光","夏",425,427
"承光","北齊",577,577
"承安","金",1196,1200
"承平","北魏",452,452
"承明","北魏",476,476
"承聖","南梁",552,555
"拱化","西夏",1063,1068
"收國","金",1115,1116
"政和","北宋",1111,1118
"文德","唐",888,888
"文明","周",684,684
"昇元","南唐",937,942
"昇明","劉宋",477,479
"昌武","夏",418,418
"明德","後蜀",934,937
"明昌","金",1190,1196
"明道","北宋",1032,1033
"昭寧","東漢",189,189
"晏平","成漢",306,310
"普泰","北魏",531,531
"普通","南梁",520,527
"景元","三國魏",260,264
"景初","三國魏",237,239
"景和","劉宋",465,465
"景定","南宋",1260,1264
"景平","劉宋",423,424
"景德","北宋",1004,1007
"景明","北魏",500,503
"景泰","明",1450,1457
"景炎","南宋",1276,1277
"景祐","北宋",1034,1038
"景福","唐",892,893
"景福","遼",1031,1031
"景耀","三國蜀",258,263
"景雲","唐",710,711
"景龍","唐",707,710
"更始","西漢",23,25
"更始","西燕",385,385
"更始","西秦",409,411
"會同","遼",938,947
"會昌","唐",841,846
"本初","東漢",146,146
"本始","西漢",-73,-70
"正元","三國魏",254,256
"正光","北魏",520,525
"正大","金",1224,1231
"正始","三國魏",240,249
"正始","後燕",407,409
"正始","北魏",504,508
"正平","北魏",451,452
"正德","西夏",1127,1134
"正德","明",1506,1521
"正統","明",1436,1449
"正隆","金",1156,1161
"武定","東魏",543,550
"武平","北齊",570,576
"武德","唐",618,626
"武成","北周",559,560
"武成","前蜀",908,910
"武泰","北魏",528,528
"武義","吳",919,920
"永元","東漢",89,105
"永元","前涼",320,323
"永元","南齊",499,501
"永光","西漢",-43,-39
"永光","劉宋",465,465
"永初","東漢",107,113
"永初","劉宋",420,422
"永和","東漢",136,141
"永和","東晉",345,356
"永和","後秦",416,417
"永和","北涼",433,439
"永和","閩",935,936
"永喜","東漢",145,145
"永嘉","西晉",307,313
"永壽","東漢",155,158
"永始","西漢",-16,-13
"永安","三國吳",258,264
"永安","西晉",304,304
"永安","西晉",304,304
"永安","北涼",401,411
"永安","北魏",528,530
"永安","西夏",1099,1101
"永定","陳",557,559
"永寧","東漢",120,121
"永寧","西晉",301,302
"永寧","後趙",350,350
"永平","東漢",58,75
"永平","西晉",291,291
"永平","北魏",508,512
"永平","前蜀",911,915
"永康","東漢",167,167
"永康","西晉",300,301
"永康","後燕",396,397
"永康","西秦",412,419
"永建","東漢",126,132
"永建","西涼",420,421
"永弘","西秦",428,431
"永徽","唐",650,656
"永昌","東晉",322,323
"永昌","周",689,690
"永昌","大順",1644,1645
"永明","南齊",483,493
"永曆","南明",1647,1661
"永樂","前涼",346,353
"永樂","明",1403,1424
"永泰","南齊",498,498
"永泰","唐",765,766
"永淳","唐",682,683
"永漢","東漢",189,189
"永熙","西晉",290,291
"永熙","北魏",532,534
"永興","東漢",153,154
"永興","西晉",304,306
"永興","後趙",350,352
"永興","前秦",357,358
"永興","北魏",409,413
"永興","北魏",532,532
"永貞","唐",805,805
"永隆","唐",680,681
"永隆","閩",939,942
"永鳳","前趙",308,308
"河平","西漢",-28,-25
"河清","北齊",562,565
"河瑞","前趙",309,309
"治平","北宋",1064,1067
"泰和","金",1201,1208
"泰始","西晉",265,274
"泰始","劉宋",465,471
"泰定","元",1324,1328
"泰常","北魏",416,423
"泰昌","明",1620,1620
"泰豫","劉宋",472,472
"洪武","明",1368,1398
"洪熙","明",1425,1425
"淳化","北宋",990,994
"淳熙","南宋",1174,1189
"淳祐","南宋",1241,1252
"清寧","遼",1055,1064
"清泰","五代後唐",934,936
"漢安","東漢",142,144
"炎興","三國蜀",263,263
"熙寧","北宋",1068,1077
"熙平","北魏",516,518
"熹平","東漢",172,178
"燕元","前燕",349,351
"燕元","後燕",384,385
"燕平","南燕",398,399
"燕興","西燕",384,384
"玄始","北涼",412,427
"玉恒","成漢",335,337
"玉衡","成漢",311,334
"甘露","西漢",-53,-50
"甘露","三國魏",256,259
"甘露","三國吳",265,266
"甘露","前秦",359,364
"登國","北魏",386,395
"白雀","後秦",384,385
"白龍","南漢",925,927
"皇初","後秦",394,398
"皇始","前秦",351,354
"皇始","北魏",396,397
"皇建","北齊",560,561
"皇建","西夏",1210,1210
"皇慶","元",1312,1313
"皇祐","北宋",1049,1054
"皇統","金",1141,1149
"皇興","北魏",467,471
"真興","夏",419,424
"神冊","遼",916,921
"神功","周",697,697
"神爵","西漢",-61,-58
"神瑞","北魏",414,415
"神璽","北涼",397,398
"神鳳","三國吳",252,252
"神麚","北魏",428,431
"神鼎","後涼",400,403
"神龍","唐",705,707
"神龜","北魏",518,520
"祥興","南宋",1278,1279
"禎明","陳",587,589
"竟寧","西漢",-33,-33
"章和","東漢",87,88
"章武","三國蜀",221,223
"端平","南宋",1234,1236
"端拱","北宋",988,989
"紹定","南宋",1228,1233
"紹武","南明",1646,1646
"紹泰","南梁",555,556
"紹熙","南宋",1190,1194
"紹聖","北宋",1094,1098
"紹興","南宋",1131,1162
"紹興","西遼",1150,1163
"統和","遼",983,1012
"綏和","西漢",-8,-7
"總章","唐",668,670
"義和","北涼",431,432
"義寧","隋",617,618
"義熙","東晉",405,418
"義熙","西秦",407,408
"聖曆","周",698,700
"至元","元",1264,1294
"至元","元",1335,1340
"至和","北宋",1054,1056
"至大","元",1308,1311
"至寧","金",1213,1213
"至德","陳",583,587
"至德","唐",756,758
"至正","元",1341,1370
"至治","元",1321,1323
"至道","北宋",995,997
"至順","元",1330,1333
"致和","元",1328,1328
"興元","唐",784,784
"興光","北魏",454,454
"興和","東魏",539,542
"興安","北魏",452,453
"興定","金",1217,1222
"興寧","東晉",363,365
"興平","東漢",194,195
"萬曆","明",1573,1620
"調露","唐",679,680
"證聖","周",695,695
"貞元","唐",785,805
"貞元","金",1153,1155
"貞明","五代後梁",915,921
"貞祐","金",1213,1217
"貞觀","唐",627,649
"貞觀","西夏",1102,1114
"赤烏","三國吳",238,251
"載初","周",690,690
"通文","閩",936,938
"通正","前蜀",916,917
"道光","清",1821,1850
"重和","北宋",1118,1119
"重熙","遼",1032,1055
"長壽","周",692,694
"長安","周",701,705
"長慶","唐",821,824
"長樂","後燕",399,400
"長興","五代後唐",930,933
"開元","唐",713,741
"開寶","北宋",968,976
"開平","五代後梁",907,911
"開慶","南宋",1259,1259
"開成","唐",836,840
"開明","鄭（王世充）",619,621
"開泰","遼",1012,1021
"開皇","隋",581,600
"開禧","南宋",1205,1207
"開耀","唐",681,682
"開興","金",1232,1232
"開運","五代後晉",944,946
"開運","西夏",1034,1034
"阜昌","偽齊",1131,1138
"陽嘉","東漢",132,135
"陽朔","西漢",-24,-21
"隆化","北齊",576,577
"隆和","東晉",362,363
"隆安","東晉",397,401
"隆慶","明",1567,1572
"隆昌","南齊",494,494
"隆武","南明",1645,1646
"隆興","南宋",1163,1164
"雍寧","西夏",1115,1119
"雍正","清",1723,1735
"雍熙","北宋",984,987
"青龍","三國魏",233,237
"青龍","後趙",349,349
"靖康","北宋",1126,1127
"順治","清",1644,1661
"順義","吳",921,926
"顯德","五代後周",954,959
"顯慶","唐",656,661
"顯道","西夏",1032,1033
"鳳凰","三國吳",272,274
"鳳翔","夏",413,417
"鴻嘉","西漢",-20,-17
"麟嘉","前趙",316,317
"麟嘉","後涼",389,394
"麟德","唐",664,666
"黃初","三國魏",220,226
"黃武","三國吳",222,229
"黃龍","西漢",-49,-49
"黃龍","三國吳",229,231
"龍啟","閩",933,934
"龍德","五代後梁",921,923
"龍昇","夏",407,412
"龍朔","唐",661,663
"龍紀","唐",889,889
"龍飛","後涼",395,397
